tract_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02
40109108519,1750,350,851,549,312,566,872,3,73,13,63,73,85,144,42,36,103,24,124,39,147,180,274,20,152,38,117,1442,173,52,50,1,32,1655,95,116,406,471,407,853,897
40109108520,985,186,482,317,163,308,514,0,46,9,33,38,57,89,32,31,53,16,80,25,67,70,156,26,68,22,67,793,129,24,15,1,23,947,38,88,230,224,257,521,464
40109108521,809,232,389,188,193,341,275,1,20,4,35,47,19,91,25,7,40,18,42,16,71,52,153,15,80,28,45,566,157,19,45,1,21,745,64,93,174,172,138,405,404
40109108523,2954,642,1580,732,630,1031,1293,3,105,41,92,176,122,323,81,51,140,53,193,60,223,318,449,40,255,63,166,2178,488,68,139,2,79,2821,133,237,691,759,625,1466,1488
40109108524,1740,329,1000,411,362,481,897,3,59,10,70,117,80,171,52,30,107,38,111,41,120,139,259,21,158,33,121,1296,230,42,128,1,43,1669,71,151,366,479,415,898,842
40109108525,1210,263,644,303,273,427,510,1,44,6,57,82,50,128,27,21,47,21,83,31,105,133,172,16,95,32,59,854,205,26,94,5,26,1142,68,126,265,296,260,568,642
40109108526,2592,744,1379,469,526,1151,915,1,64,11,109,176,126,303,81,37,115,39,149,50,226,214,406,41,241,67,136,1858,469,85,109,6,65,2388,204,254,505,615,474,1282,1310
40109108527,2836,811,1464,561,589,1005,1242,0,120,21,92,120,107,286,75,44,168,34,203,51,258,252,502,39,253,68,143,2115,477,70,95,1,78,2719,117,216,550,674,585,1370,1466
40109108528,1224,271,691,262,288,395,541,1,52,11,41,60,46,133,32,24,82,21,77,20,95,107,227,10,106,25,54,904,192,30,68,2,28,1174,50,139,249,287,278,564,660
40109108529,1462,268,666,528,329,341,792,4,79,15,50,69,65,137,36,24,81,21,117,35,90,184,230,20,93,40,72,1210,102,27,98,1,24,1424,38,92,312,402,388,735,727
40109108530,2265,519,1164,582,476,829,960,3,69,16,66,109,95,293,55,37,112,32,155,52,179,204,399,23,175,64,127,1692,345,48,128,3,49,2120,145,206,472,551,517,1123,1142
40109108601,1189,283,643,263,264,503,422,2,55,6,55,111,78,146,70,17,47,18,46,27,87,78,130,10,109,44,53,944,77,48,70,4,46,1078,111,130,255,316,205,620,569
40109108602,525,120,250,155,132,240,153,1,12,4,45,36,25,73,31,10,10,7,27,15,46,35,53,3,58,13,21,467,21,18,7,0,12,466,59,52,136,124,93,279,246
40109108603,1194,265,682,247,250,412,532,4,35,9,62,91,63,151,70,17,53,19,72,22,70,112,132,6,89,36,81,1062,55,29,27,0,21,1092,102,114,281,305,229,639,555
40109108701,1063,237,529,297,256,348,459,1,30,14,55,81,53,109,38,17,26,9,66,18,73,146,130,17,86,27,67,893,76,43,23,2,26,1027,36,82,238,269,237,554,509
40109108703,2400,482,1334,584,517,730,1153,3,89,24,152,165,107,205,78,37,95,34,156,41,154,343,255,31,175,56,200,2135,82,96,22,2,63,2324,76,182,561,610,565,1225,1175
40109108704,2192,421,1176,595,455,759,978,1,74,25,179,170,108,186,70,21,81,33,141,27,136,257,271,24,168,54,166,1924,70,86,28,3,81,2089,103,196,511,593,471,1193,999
40109108706,1285,274,690,321,288,493,504,4,43,14,54,82,63,143,40,16,50,22,60,10,83,157,173,22,125,34,90,1040,143,44,31,2,25,1219,66,114,302,355,240,590,695
40109108707,1579,317,874,388,336,549,694,4,40,15,74,79,57,180,44,22,66,20,81,14,102,201,267,30,99,45,139,1270,204,42,28,1,34,1514,65,144,366,412,340,772,807
40109108708,1295,258,689,348,271,455,569,3,51,23,70,78,60,139,52,22,39,16,76,10,65,174,181,22,101,26,87,1154,33,53,21,1,33,1246,49,103,325,351,258,640,655
40109108709,1396,289,755,352,290,459,647,3,56,16,98,101,62,149,52,32,58,7,57,27,71,150,174,11,132,25,115,1250,46,41,15,2,42,1345,51,102,340,367,298,703,693
40109108801,2567,670,1341,556,620,1044,903,2,60,30,124,182,103,309,82,34,88,29,123,31,190,328,317,50,234,72,179,2002,349,87,34,1,94,2464,103,230,561,650,456,1288,1279
40109108802,2069,471,1149,449,444,782,843,3,51,20,117,138,86,208,61,33,71,36,95,40,118,284,290,26,161,44,187,1810,76,81,28,1,73,1951,118,159,478,542,419,1001,1068
40109108803,439,118,205,116,126,222,91,0,9,3,20,35,14,47,12,3,15,6,12,6,42,40,73,10,55,8,29,116,288,8,6,1,20,414,25,67,83,117,54,218,221
40109108804,1128,223,639,266,289,420,419,4,23,9,54,65,35,109,29,18,48,20,46,24,84,135,171,23,122,22,87,781,277,26,11,2,31,1075,53,123,279,299,204,562,566
40109108900,1477,323,850,304,378,585,514,4,55,16,94,100,75,171,43,21,55,17,77,18,104,130,237,31,119,25,85,1157,213,49,12,3,43,1419,58,161,351,385,257,745,732
40109109001,797,174,435,188,196,306,295,1,25,7,49,57,26,101,13,13,32,11,48,12,56,74,104,9,80,18,61,673,35,46,13,1,29,757,40,90,184,202,147,395,402
40109109003,1964,448,1127,389,448,699,817,3,74,32,120,169,73,202,65,32,55,16,90,18,110,268,233,39,167,45,153,1738,51,104,18,0,53,1885,79,155,436,532,393,967,997
40109109004,1372,303,763,306,344,489,539,2,43,20,88,97,61,177,30,24,44,10,59,12,84,195,152,20,90,34,130,1216,45,70,13,0,28,1305,67,116,311,367,275,680,692
40109109100,138,24,73,41,33,35,70,0,13,1,5,10,5,14,3,5,2,2,10,11,16,11,11,2,6,3,8,95,24,13,3,1,2,127,11,17,40,34,23,94,44
40109109201,2472,396,1384,692,500,579,1393,12,153,27,137,119,100,237,57,44,99,48,193,32,130,270,385,50,174,61,144,2169,118,59,81,1,44,2362,110,212,553,661,650,1367,1105
