"work_tract","C000","CA01","CA02","CA03","CE01","CE02","CE03","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20","CR01","CR02","CR03","CR04","CR05","CR07","CT01","CT02","CD01","CD02","CD03","CD04","CS01","CS02","CFA01","CFA02","CFA03","CFA04","CFA05","CFS01","CFS02","CFS03","CFS04","CFS05","createdate"
"40081961500",1258,292,628,338,353,559,346,0,124,0,70,36,56,120,13,1,82,13,23,1,7,175,140,1,124,17,255,1014,35,168,6,0,35,1197,61,121,322,313,210,557,701,0,0,0,0,0,0,0,0,0,0,887520436
"40081961600",302,48,176,78,61,107,134,0,49,1,22,8,3,24,9,30,16,5,15,0,1,68,23,0,4,7,17,268,1,16,2,0,15,283,19,27,108,71,48,161,141,0,0,0,0,0,0,0,0,0,0,625298489
"40081961700",2203,469,1129,605,533,962,708,0,7,0,100,306,73,399,151,25,325,6,37,19,23,187,173,17,118,17,220,1941,98,93,8,3,60,2137,66,175,625,585,349,1093,1110,0,0,0,0,0,0,0,0,0,0,1311109735
"40083600100",1224,286,611,327,325,534,365,12,3,0,54,5,6,21,2,0,19,43,11,2,11,454,285,0,176,7,113,1035,103,39,14,1,32,1151,73,106,281,323,228,363,861,0,0,0,0,0,0,0,0,0,0,705982165
"40083600200",1175,356,560,259,372,470,333,0,5,17,25,94,37,135,35,13,67,25,67,22,5,6,295,49,126,16,136,983,112,37,16,2,25,1121,54,121,261,283,154,542,633,0,0,0,0,0,0,0,0,0,0,786665841
"40083600300",1553,475,751,327,605,623,325,4,4,6,47,193,26,523,55,4,72,17,33,3,10,3,258,0,237,48,10,1266,161,66,17,0,43,1486,67,151,371,327,229,791,762,0,0,0,0,0,0,0,0,0,0,584956651
"40083600400",738,225,373,140,168,328,242,1,9,7,185,15,16,92,0,0,25,10,18,0,230,0,21,3,49,57,0,624,56,20,15,0,23,640,98,91,164,151,107,495,243,0,0,0,0,0,0,0,0,0,0,1311109735
"40083600500",737,187,392,158,151,299,287,0,8,0,250,18,29,12,49,0,8,36,60,0,78,0,10,42,65,20,52,644,32,31,6,1,23,692,45,61,180,199,110,455,282,0,0,0,0,0,0,0,0,0,0,1129571464
"40083600600",749,121,363,265,132,306,311,77,5,0,31,24,5,13,0,0,2,2,6,0,7,477,13,0,70,0,17,361,327,12,24,0,25,684,65,94,162,184,188,381,368,0,0,0,0,0,0,0,0,0,0,504272975
"40083600700",643,132,333,178,185,231,227,5,83,7,23,8,35,124,41,4,32,0,10,0,12,132,47,14,23,5,38,567,20,33,3,0,20,617,26,45,173,167,126,325,318,0,0,0,0,0,0,0,0,0,0,1028716869
